"decile","total_revenue","customer_count","revenue_share","cumulative_customer_share","cumulative_revenue_share","segment_label"
1,5898960,9335,0.3825,0.1,0.3825,"Decile 1 - Highest spenders"
2,2355705.59,9336,0.1527,0.2,0.5352,"Decile 2"
3,1712205.19,9336,0.111,0.3,0.6463,"Decile 3"
4,1371679.5,9335,0.0889,0.4,0.7352,"Decile 4"
5,1116347.68,9336,0.0724,0.5,0.8076,"Decile 5"
6,909688.01,9336,0.059,0.6,0.8666,"Decile 6"
7,730566.66,9335,0.0474,0.7,0.9139,"Decile 7"
8,586116.49,9336,0.038,0.8,0.9519,"Decile 8"
9,445495.31,9336,0.0289,0.9,0.9808,"Decile 9"
10,295697.34,9336,0.0192,1,1,"Decile 10"
