"cumulative_customer_share","cumulative_revenue_share"
0,0
0.001,1e-04
0.002,2e-04
0.003,3e-04
0.004,4e-04
0.005,6e-04
0.006,7e-04
0.007,8e-04
0.008,9e-04
0.009,0.0011
0.01,0.0012
0.011,0.0014
0.012,0.0015
0.013,0.0016
0.014,0.0018
0.015,0.0019
0.016,0.0021
0.017,0.0022
0.018,0.0024
0.019,0.0026
0.02,0.0027
0.021,0.0029
0.022,0.003
0.023,0.0032
0.024,0.0034
0.025,0.0035
0.026,0.0037
0.027,0.0039
0.028,0.0041
0.029,0.0042
0.03,0.0044
0.031,0.0046
0.032,0.0048
0.033,0.0049
0.034,0.0051
0.035,0.0053
0.036,0.0055
0.037,0.0057
0.038,0.0058
0.039,0.006
0.04,0.0062
0.041,0.0064
0.042,0.0066
0.043,0.0068
0.044,0.007
0.0451,0.0072
0.046,0.0074
0.0471,0.0076
0.0481,0.0078
0.0491,0.008
0.0501,0.0082
0.0511,0.0084
0.0521,0.0086
0.0531,0.0088
0.0541,0.009
0.0551,0.0092
0.0561,0.0094
0.0571,0.0096
0.0581,0.0098
0.0591,0.01
0.0601,0.0102
0.0611,0.0104
0.0621,0.0106
0.0631,0.0108
0.0641,0.011
0.0651,0.0112
0.0661,0.0115
0.0671,0.0117
0.0681,0.0119
0.0691,0.0121
0.0701,0.0123
0.0711,0.0125
0.0721,0.0127
0.0731,0.013
0.0741,0.0132
0.0751,0.0134
0.0761,0.0136
0.0771,0.0139
0.0781,0.0141
0.0791,0.0143
0.0801,0.0145
0.0811,0.0148
0.0821,0.015
0.0831,0.0152
0.0841,0.0154
0.0851,0.0157
0.0861,0.0159
0.0871,0.0161
0.0881,0.0164
0.0891,0.0166
0.0901,0.0168
0.0911,0.017
0.0921,0.0173
0.0931,0.0175
0.0941,0.0178
0.0951,0.018
0.0961,0.0182
0.0971,0.0185
0.0981,0.0187
0.0991,0.019
0.1001,0.0192
0.1011,0.0194
0.1021,0.0197
0.1031,0.0199
0.1041,0.0202
0.1051,0.0204
0.1061,0.0207
0.1071,0.0209
0.1081,0.0212
0.1091,0.0214
0.1101,0.0217
0.1111,0.0219
0.1121,0.0222
0.1131,0.0224
0.1141,0.0227
0.1151,0.023
0.1161,0.0232
0.1171,0.0235
0.1181,0.0237
0.1191,0.024
0.1201,0.0243
0.1211,0.0245
0.1221,0.0248
0.1231,0.0251
0.1241,0.0253
0.1251,0.0256
0.1261,0.0259
0.1271,0.0261
0.1281,0.0264
0.1291,0.0267
0.1301,0.0269
0.1311,0.0272
0.1321,0.0275
0.1331,0.0277
0.1341,0.028
0.1351,0.0283
0.1361,0.0286
0.1371,0.0288
0.1381,0.0291
0.1391,0.0294
0.1401,0.0297
0.1411,0.03
0.1421,0.0302
0.1431,0.0305
0.1441,0.0308
0.1452,0.0311
0.1461,0.0314
0.1472,0.0317
0.1482,0.0319
0.1491,0.0322
0.1502,0.0325
0.1512,0.0328
0.1522,0.0331
0.1532,0.0334
0.1542,0.0337
0.1552,0.034
0.1562,0.0343
0.1572,0.0346
0.1582,0.0348
0.1592,0.0351
0.1602,0.0354
0.1612,0.0357
0.1622,0.036
0.1632,0.0363
0.1642,0.0366
0.1652,0.0369
0.1662,0.0372
0.1672,0.0375
0.1682,0.0378
0.1692,0.0382
0.1702,0.0385
0.1712,0.0388
0.1722,0.0391
0.1732,0.0394
0.1742,0.0397
0.1752,0.04
0.1762,0.0403
0.1772,0.0406
0.1782,0.041
0.1792,0.0413
0.1802,0.0416
0.1812,0.0419
0.1822,0.0422
0.1832,0.0425
0.1842,0.0429
0.1852,0.0432
0.1862,0.0435
0.1872,0.0438
0.1882,0.0442
0.1892,0.0445
0.1902,0.0448
0.1912,0.0451
0.1922,0.0455
0.1932,0.0458
0.1942,0.0461
0.1952,0.0465
0.1962,0.0468
0.1972,0.0471
0.1982,0.0475
0.1992,0.0478
0.2002,0.0481
0.2012,0.0485
0.2022,0.0488
0.2032,0.0491
0.2042,0.0495
0.2052,0.0498
0.2062,0.0502
0.2072,0.0505
0.2082,0.0508
0.2092,0.0512
0.2102,0.0515
0.2112,0.0519
0.2122,0.0522
0.2132,0.0526
0.2142,0.0529
0.2152,0.0533
0.2162,0.0536
0.2172,0.054
0.2182,0.0543
0.2192,0.0547
0.2202,0.055
0.2212,0.0554
0.2222,0.0557
0.2232,0.0561
0.2242,0.0564
0.2252,0.0568
0.2262,0.0572
0.2272,0.0575
0.2282,0.0579
0.2292,0.0582
0.2302,0.0586
0.2312,0.059
0.2322,0.0593
0.2332,0.0597
0.2342,0.0601
0.2352,0.0604
0.2362,0.0608
0.2372,0.0612
0.2382,0.0615
0.2392,0.0619
0.2402,0.0623
0.2412,0.0627
0.2422,0.063
0.2432,0.0634
0.2442,0.0638
0.2453,0.0642
0.2462,0.0645
0.2473,0.0649
0.2483,0.0653
0.2492,0.0657
0.2503,0.0661
0.2513,0.0664
0.2523,0.0668
0.2533,0.0672
0.2543,0.0676
0.2553,0.068
0.2563,0.0684
0.2573,0.0688
0.2583,0.0691
0.2593,0.0695
0.2603,0.0699
0.2613,0.0703
0.2623,0.0707
0.2633,0.0711
0.2643,0.0715
0.2653,0.0719
0.2663,0.0723
0.2673,0.0727
0.2683,0.0731
0.2693,0.0735
0.2703,0.0739
0.2713,0.0743
0.2723,0.0747
0.2733,0.0751
0.2743,0.0755
0.2753,0.0759
0.2763,0.0763
0.2773,0.0767
0.2783,0.0771
0.2793,0.0775
0.2803,0.0779
0.2813,0.0783
0.2823,0.0787
0.2833,0.0791
0.2843,0.0795
0.2853,0.0799
0.2863,0.0803
0.2873,0.0808
0.2883,0.0812
0.2893,0.0816
0.2903,0.082
0.2913,0.0824
0.2923,0.0828
0.2933,0.0832
0.2943,0.0837
0.2953,0.0841
0.2963,0.0845
0.2973,0.0849
0.2983,0.0853
0.2993,0.0858
0.3003,0.0862
0.3013,0.0866
0.3023,0.087
0.3033,0.0875
0.3043,0.0879
0.3053,0.0883
0.3063,0.0888
0.3073,0.0892
0.3083,0.0896
0.3093,0.09
0.3103,0.0905
0.3113,0.0909
0.3123,0.0914
0.3133,0.0918
0.3143,0.0922
0.3153,0.0927
0.3163,0.0931
0.3173,0.0935
0.3183,0.094
0.3193,0.0944
0.3203,0.0949
0.3213,0.0953
0.3223,0.0958
0.3233,0.0962
0.3243,0.0966
0.3253,0.0971
0.3263,0.0975
0.3273,0.098
0.3283,0.0984
0.3293,0.0989
0.3303,0.0993
0.3313,0.0998
0.3323,0.1003
0.3333,0.1007
0.3343,0.1012
0.3353,0.1016
0.3363,0.1021
0.3373,0.1025
0.3383,0.103
0.3393,0.1035
0.3403,0.1039
0.3413,0.1044
0.3423,0.1048
0.3433,0.1053
0.3443,0.1058
0.3454,0.1062
0.3463,0.1067
0.3473,0.1072
0.3484,0.1076
0.3493,0.1081
0.3504,0.1086
0.3514,0.1091
0.3524,0.1095
0.3534,0.11
0.3544,0.1105
0.3554,0.111
0.3564,0.1114
0.3574,0.1119
0.3584,0.1124
0.3594,0.1129
0.3604,0.1133
0.3614,0.1138
0.3624,0.1143
0.3634,0.1148
0.3644,0.1153
0.3654,0.1158
0.3664,0.1163
0.3674,0.1168
0.3684,0.1173
0.3694,0.1178
0.3704,0.1183
0.3714,0.1187
0.3724,0.1192
0.3734,0.1197
0.3744,0.1202
0.3754,0.1207
0.3764,0.1212
0.3774,0.1218
0.3784,0.1223
0.3794,0.1228
0.3804,0.1233
0.3814,0.1238
0.3824,0.1243
0.3834,0.1248
0.3844,0.1253
0.3854,0.1258
0.3864,0.1263
0.3874,0.1269
0.3884,0.1274
0.3894,0.1279
0.3904,0.1284
0.3914,0.1289
0.3924,0.1294
0.3934,0.13
0.3944,0.1305
0.3954,0.131
0.3964,0.1315
0.3974,0.1321
0.3984,0.1326
0.3994,0.1331
0.4004,0.1336
0.4014,0.1342
0.4024,0.1347
0.4034,0.1352
0.4044,0.1358
0.4054,0.1363
0.4064,0.1368
0.4074,0.1374
0.4084,0.1379
0.4094,0.1384
0.4104,0.139
0.4114,0.1395
