"customer_state","total_revenue","state_rank","revenue_share","concentration_tier"
"SP",5770266.19,1,0.3741,"Core revenue state"
"RJ",2055690.45,2,0.1333,"Core revenue state"
"MG",1819277.61,3,0.118,"Core revenue state"
"RS",861802.4,4,0.0559,"Secondary state"
"PR",781919.55,5,0.0507,"Secondary state"
"SC",595208.4,6,0.0386,"Secondary state"
"BA",591270.6,7,0.0383,"Secondary state"
"DF",346146.17,8,0.0224,"Secondary state"
"GO",334294.22,9,0.0217,"Secondary state"
"ES",317682.65,10,0.0206,"Secondary state"
"PE",309074.59,11,0.02,"Long-tail state"
"CE",266463.97,12,0.0173,"Long-tail state"
"PA",212027.55,13,0.0137,"Long-tail state"
"MT",181441.72,14,0.0118,"Long-tail state"
"MA",147807.29,15,0.0096,"Long-tail state"
"PB",137834.65,16,0.0089,"Long-tail state"
"MS",134421.54,17,0.0087,"Long-tail state"
"PI",105272.17,18,0.0068,"Long-tail state"
"RN",100728.3,19,0.0065,"Long-tail state"
"AL",94195.79,20,0.0061,"Long-tail state"
"SE",70289.13,21,0.0046,"Long-tail state"
"TO",60007.37,22,0.0039,"Long-tail state"
"RO",56975.7,23,0.0037,"Long-tail state"
"AM",27596.18,24,0.0018,"Long-tail state"
"AC",19586.25,25,0.0013,"Long-tail state"
"AP",16141.81,26,0.001,"Long-tail state"
"RR",9039.52,27,6e-04,"Long-tail state"
