"max_installments","total_revenue","order_count","revenue_share","order_share"
0,188.63,2,0,0
1,5627476.69,46814,0.3649,0.4852
2,1543943.92,12026,0.1001,0.1247
3,1456604.42,10133,0.0944,0.105
4,1130643.59,6864,0.0733,0.0711
5,933976.24,5083,0.0606,0.0527
6,797487.65,3792,0.0517,0.0393
7,292537.93,1559,0.019,0.0162
8,1270094.97,4120,0.0824,0.0427
9,122847.56,618,0.008,0.0064
10,2127726.91,5137,0.138,0.0532
11,2763.14,22,2e-04,2e-04
12,41706.98,128,0.0027,0.0013
13,2277.4,15,1e-04,2e-04
14,2496.26,14,2e-04,1e-04
15,31170.53,72,0.002,7e-04
16,1463.47,5,1e-04,1e-04
17,1221.66,7,1e-04,1e-04
18,13235.05,27,9e-04,3e-04
20,10268.55,16,7e-04,2e-04
21,731.1,3,0,0
22,228.71,1,0,0
23,236.48,1,0,0
24,11133.93,18,7e-04,2e-04
