"month","monthly_revenue","mom_growth","growth_direction","volatility_signal"
2017-01-01,127545.67,NA,"Baseline","Baseline month"
2017-02-01,271298.65,1.1271,"Growth","High swing"
2017-03-01,414369.39,0.5274,"Growth","High swing"
2017-04-01,390952.18,-0.0565,"Decline","Normal movement"
2017-05-01,567066.73,0.4505,"Growth","High swing"
2017-06-01,490225.6,-0.1355,"Decline","Normal movement"
2017-07-01,566403.93,0.1554,"Growth","Normal movement"
2017-08-01,646000.61,0.1405,"Growth","Normal movement"
2017-09-01,701169.99,0.0854,"Growth","Normal movement"
2017-10-01,751140.27,0.0713,"Growth","Normal movement"
2017-11-01,1153528.05,0.5357,"Growth","High swing"
2017-12-01,843199.17,-0.269,"Decline","High swing"
2018-01-01,1078606.86,0.2792,"Growth","High swing"
2018-02-01,966510.88,-0.1039,"Decline","Normal movement"
2018-03-01,1120678,0.1595,"Growth","Normal movement"
2018-04-01,1132933.95,0.0109,"Growth","Normal movement"
2018-05-01,1128836.69,-0.0036,"Decline","Normal movement"
2018-06-01,1012090.68,-0.1034,"Decline","Normal movement"
2018-07-01,1027903.86,0.0156,"Growth","Normal movement"
2018-08-01,985414.28,-0.0413,"Decline","Normal movement"
